tm,DMI,Nino3.4
15/04/2006,0.315304637,-0.160566204
17/05/2006,0.168101294,0.048344359
17/06/2006,-0.049816157,0.189510967
15/07/2006,-0.064752873,0.048051442
16/08/2006,0.48773071,0.292065234
16/09/2006,1.30402268,0.563557771
14/10/2006,1.481304202,0.679037262
15/11/2006,1.292532092,1.026803772
16/12/2006,0.428827685,1.132874119
17/01/2007,0.129057785,0.544442966
17/02/2007,-0.016785977,-0.072810667
17/03/2007,0.400835805,-0.10232812
14/04/2007,0.393723356,0.029203125
16/05/2007,0.492044553,-0.286587208
16/06/2007,0.401659053,-0.089332927
14/07/2007,0.286452868,-0.492628984
15/08/2007,0.339206954,-0.724345414
15/09/2007,0.90397114,-1.014581068
17/10/2007,0.483567941,-1.55589141
17/11/2007,0.021176131,-1.642628436
15/12/2007,-0.495746582,-1.669943448
16/01/2008,-0.132015111,-1.947372151
16/02/2008,-0.255534256,-2.029513925
15/03/2008,0.28726142,-1.214650745
16/04/2008,0.00419645,-0.930373603
17/05/2008,0.369423041,-0.686073952
14/06/2008,0.653924858,-0.487897828
16/07/2008,0.768001877,-0.098658302
16/08/2008,0.630195498,-0.071747224
13/09/2008,0.195608367,-0.315861717
15/10/2008,0.16057805,-0.452608424
15/11/2008,-0.183433088,-0.386080463
17/12/2008,-0.238673107,-0.916633513
17/01/2009,-0.205614171,-1.1378689
14/02/2009,0.347633531,-0.806528895
14/03/2009,0.663914032,-0.649566614
15/04/2009,0.203530881,-0.268166524
16/05/2009,0.468022784,0.185042161
13/06/2009,0.189763067,0.427781007
15/07/2009,-0.079783207,0.654918855
15/08/2009,0.118813218,0.592394711
16/09/2009,-0.112758018,0.673530828
17/10/2009,0.051137051,0.888600274
14/11/2009,-0.169322772,1.499694609
16/12/2009,0.325564434,1.6489482
16/01/2010,0.38045683,1.377827123
13/02/2010,-0.04935963,1.093977382
17/03/2010,0.251649905,0.992424139
17/04/2010,0.463873328,0.567426634
15/05/2010,-0.391058965,-0.193621448
16/06/2010,0.008228676,-0.662602071
17/07/2010,-0.143635067,-1.24448586
14/08/2010,-0.443668173,-1.392067986
15/09/2010,-0.930419807,-1.731367356
16/10/2010,-0.957481514,-1.762857031
13/11/2010,-0.333663437,-1.615575209
15/12/2010,-0.202280609,-1.688067961
15/01/2011,-0.033542862,-1.77366024
12/02/2011,-0.095394286,-1.405401951
16/03/2011,0.302409509,-1.063086878
16/04/2011,0.371523247,-0.730934536
14/05/2011,0.215341052,-0.46730516
15/06/2011,0.125173783,-0.19081897
16/07/2011,0.356141808,-0.330941334
17/08/2011,0.488103531,-0.744427285
17/09/2011,0.882487215,-0.818461021
15/10/2011,0.52617088,-1.070668113
16/11/2011,0.128198868,-1.115815045
17/12/2011,-0.06570202,-1.094166231
14/01/2012,0.130091813,-1.197559217
15/02/2012,-0.22855593,-0.845411278
17/03/2012,0.227455469,-0.609143186
14/04/2012,0.034516764,-0.403127579
16/05/2012,0.222559305,-0.064748884
16/06/2012,0.054704524,0.32512952
14/07/2012,0.288725276,0.45375345
15/08/2012,1.08246144,0.631333858
15/09/2012,0.878309663,0.390339571
17/10/2012,0.490704593,0.20500076
17/11/2012,0.304233268,0.288272473
15/12/2012,0.120918885,-0.177433718
16/01/2013,-0.133003439,-0.534648681
16/02/2013,-0.127017323,-0.507816159
16/03/2013,0.033596106,-0.237872292
13/04/2013,-0.082829213,-0.091200149
15/05/2013,-0.435814667,-0.282363362
15/06/2013,-0.473119102,-0.228851152
17/07/2013,-0.690884241,-0.376446875
17/08/2013,-0.322571934,-0.382549811
14/09/2013,-0.23509221,-0.120280097
16/10/2013,-0.079286447,-0.406207205
16/11/2013,-0.004510844,-0.027430008
14/12/2013,-0.27277322,-0.077271763
15/01/2014,-0.137686326,-0.622029669
15/02/2014,-0.084413178,-0.664119844
15/03/2014,-0.406671671,-0.185061407
16/04/2014,-0.113507311,0.254765564
17/05/2014,0.153875872,0.452135864
14/06/2014,-0.275489099,0.463020298
16/07/2014,-0.474953109,0.09361306
16/08/2014,-0.578210421,0.125712902
13/09/2014,-0.376859715,0.394979891
15/10/2014,0.222670678,0.397260778
15/11/2014,0.202257839,0.817804004
17/12/2014,-0.379902017,0.690755896
17/01/2015,-0.520620561,0.415133998
14/02/2015,-0.685362388,0.469585069
14/03/2015,-0.032381904,0.495638567
15/04/2015,0.29454479,0.800550952
16/05/2015,0.475048988,1.027121172
13/06/2015,0.381395688,1.29765785
15/07/2015,0.293715264,1.516212205
15/08/2015,0.561159549,1.973789981
16/09/2015,0.936340443,2.205537473
17/10/2015,0.894391341,2.400720789
14/11/2015,0.775602009,2.912868378
16/12/2015,-0.088611582,2.742307742
16/01/2016,-0.639243997,2.466485474
13/02/2016,-0.512397409,2.311488981
16/03/2016,-0.102480814,1.612427185
16/04/2016,-0.025698915,1.076880962
14/05/2016,-0.14857608,0.325211704
15/06/2016,-0.731624323,-0.155850727
16/07/2016,-1.270678358,-0.56513043
17/08/2016,-0.776258673,-0.655500503
17/09/2016,-1.3147794,-0.671146298
15/10/2016,-0.807277445,-0.81576792
16/11/2016,-0.443256093,-0.599104137
17/12/2016,-0.389967842,-0.468414016
14/01/2017,-0.252505626,-0.451766762
11/02/2017,0.242669114,-0.014323825
15/03/2017,0.153013769,0.041744952
15/04/2017,0.628392308,0.33578259
17/05/2017,0.903489626,0.439796878
17/06/2017,0.520765562,0.546765033
15/07/2017,0.52997786,0.324863799
16/08/2017,0.744978843,-0.235543075
16/09/2017,0.285854455,-0.523309932
14/10/2017,0.144218997,-0.553939565
15/11/2017,-0.040636563,-0.856896942
16/12/2017,-0.278974124,-0.843201153
17/01/2018,-0.244489743,-0.880111979
17/02/2018,0.49042384,-1.011154879
17/03/2018,0.162804197,-0.800742913
14/04/2018,0.31955635,-0.340562762
16/05/2018,0.548612205,-0.152605128
16/06/2018,0.142675607,0.214775014
14/07/2018,0.552186724,0.251636598
15/08/2018,0.401455745,0.162220647
15/09/2018,0.97313568,0.31009535
17/10/2018,0.641860107,0.792639761
17/11/2018,0.853047646,0.939869067
15/12/2018,0.290652375,0.900915887
16/01/2019,0.080341029,0.400344432
16/02/2019,-0.020345227,0.617696902
16/03/2019,0.119291767,0.937310466
13/04/2019,0.090920619,0.837401845
15/05/2019,1.112773206,0.715210408
15/06/2019,0.665328039,0.568695462
17/07/2019,0.609226745,0.354804489
17/08/2019,1.579142959,-0.001545337
14/09/2019,1.305854371,-0.122734391
16/10/2019,2.39918964,0.537544109
16/11/2019,2.28363927,0.560156182
14/12/2019,0.942875881,0.409295306
15/01/2020,0.333635956,0.436793281
15/02/2020,-0.183887866,0.272110101
14/03/2020,-0.306876744,0.524616887
