Year,DMI,tm_1,Nino_3.4
1995,-0.083148941,17/06/1995,-0.070125823
1995,-0.340151785,15/07/1995,-0.287393308
1995,-0.22792106,16/08/1995,-0.608228345
1995,0.050830385,16/09/1995,-0.81172247
1995,-0.106097849,14/10/1995,-1.117906172
1995,-0.357259558,15/11/1995,-1.045982673
1995,0.494333016,16/12/1995,-1.073515373
1996,0.265294646,17/01/1996,-0.954692692
1996,0.241186439,17/02/1996,-0.983935798
1996,-0.238466527,16/03/1996,-0.674530571
1996,-0.288986804,13/04/1996,-0.411772742
1996,-0.170402487,15/05/1996,-0.4929081
1996,-0.253904656,15/06/1996,-0.341324849
1996,-0.589375926,17/07/1996,-0.207903743
1996,-0.912767398,17/08/1996,-0.347539748
1996,-0.417145478,14/09/1996,-0.434705133
1996,-1.230469789,16/10/1996,-0.5455461
1996,-0.689314244,16/11/1996,-0.502824504
1996,-0.40359792,14/12/1996,-0.58468932
1997,-0.135232588,15/01/1997,-0.730450736
1997,0.153968651,15/02/1997,-0.489030331
1997,0.227427811,15/03/1997,-0.260580858
1997,0.198192391,16/04/1997,0.262842673
1997,0.125930758,17/05/1997,0.74931321
1997,0.133199275,14/06/1997,1.279834475
1997,0.985224507,16/07/1997,1.634227948
1997,0.887211308,16/08/1997,1.91656419
1997,1.247986838,13/09/1997,2.117691002
1997,2.155917479,15/10/1997,2.449528766
1997,2.325627636,15/11/1997,2.630033436
1997,1.059482232,17/12/1997,2.61293905
1998,0.627602786,17/01/1998,2.395038741
1998,0.391780099,14/02/1998,2.022106816
1998,-0.123447085,14/03/1998,1.403840332
1998,-0.029804738,15/04/1998,0.821187644
1998,0.046950144,16/05/1998,0.642721543
1998,0.071330182,13/06/1998,-0.913969627
1998,-0.765717618,15/07/1998,-1.334927811
1998,-0.829895221,15/08/1998,-1.460452698
1998,-0.840079251,16/09/1998,-1.22749122
1998,-1.006310015,17/10/1998,-1.405433954
1998,-0.80647231,14/11/1998,-1.523410352
1998,-0.498073917,16/12/1998,-1.840833012
1999,-0.260660165,16/01/1999,-1.785423562
1999,0.026800689,13/02/1999,-1.459107203
1999,0.317852884,17/03/1999,-1.027561887
1999,0.171588571,17/04/1999,-0.898912817
1999,-0.442516022,15/05/1999,-0.890109648
1999,-0.271233035,16/06/1999,-1.045756816
1999,0.056799131,17/07/1999,-0.956967301
1999,0.094223742,14/08/1999,-1.328665672
1999,0.099749275,15/09/1999,-1.102034091
1999,-0.440829751,16/10/1999,-1.155518471
1999,-0.225287496,13/11/1999,-1.543671391
1999,-0.163064912,15/12/1999,-1.744956657
2000,0.018250258,15/01/2000,-2.03917442
2000,0.362255063,12/02/2000,-1.692573285
2000,0.640560029,15/03/2000,-1.227615339
2000,0.498189032,15/04/2000,-0.754774722
2000,0.241938487,17/05/2000,-0.735613374
2000,-0.285671212,17/06/2000,-0.621910118
2000,0.11289148,15/07/2000,-0.573889991
2000,0.177491917,16/08/2000,-0.470837579
2000,0.221521093,16/09/2000,-0.584010024
2000,-0.061140552,14/10/2000,-0.789153721
2000,-0.162558243,15/11/2000,-0.925795527
2000,-0.044672814,16/12/2000,-1.06958898
2001,0.132897274,17/01/2001,-0.934704538
2001,0.587599491,17/02/2001,-0.720732549
2001,0.526942765,17/03/2001,-0.43360574
2001,0.254019057,14/04/2001,-0.233205862
2001,-0.086500993,16/05/2001,-0.269438978
2001,-0.078615166,16/06/2001,0.04340532
2001,-0.570612763,14/07/2001,0.023913943
2001,-0.579392972,15/08/2001,-0.048148998
2001,-0.42571489,15/09/2001,-0.233122263
2001,-0.385542455,17/10/2001,-0.18554679
2001,0.154504527,17/11/2001,-0.260962788
2001,0.189308223,15/12/2001,-0.474742042
2002,-0.310871466,16/01/2002,-0.20013595
2002,0.26213855,16/02/2002,0.106672523
2002,-0.365871914,16/03/2002,0.02556947
2002,-0.215237065,13/04/2002,0.178227239
2002,-0.350103048,15/05/2002,0.278724434
2002,-0.304851708,15/06/2002,0.79630888
2002,-0.428332055,17/07/2002,0.694110647
2002,-0.371407735,17/08/2002,0.868087927
2002,0.58610413,14/09/2002,1.026285901
2002,0.611156299,16/10/2002,1.285359753
2002,0.217899806,16/11/2002,1.571019621
2002,-0.319055768,14/12/2002,1.457624668
2003,-0.219250436,15/01/2003,1.091006272
2003,0.101088884,15/02/2003,0.639099474
2003,0.325562381,15/03/2003,0.541567899
2003,0.233808854,16/04/2003,0.042246573
2003,0.22047068,17/05/2003,-0.536778386
2003,0.727051411,14/06/2003,-0.190801185
2003,0.539420982,16/07/2003,0.125476854
2003,0.548286337,16/08/2003,-0.09478081
2003,0.498122976,13/09/2003,0.135402756
2003,-0.054268977,15/10/2003,0.422703512
2003,-0.157220007,15/11/2003,0.350265556
2003,0.084461545,17/12/2003,0.241533378
2004,-0.343847298,17/01/2004,0.059337811
2004,-0.021464576,14/02/2004,0.019934363
2004,0.38964449,17/03/2004,-0.185739587
2004,-0.1583793,17/04/2004,0.100584833
2004,-0.269168477,15/05/2004,0.175131003
2004,-0.477973984,16/06/2004,0.101134479
2004,-0.438778384,17/07/2004,0.460522305
2004,-0.045908228,14/08/2004,0.616643653
2004,0.15029469,15/09/2004,0.685598408
2004,0.100393483,16/10/2004,0.595724358
2004,0.09138112,13/11/2004,0.594376263
2004,0.038061347,15/12/2004,0.671732365
2005,-0.197598829,15/01/2005,0.433273419
2005,-0.96565492,12/02/2005,0.123111012
2005,-0.628141416,16/03/2005,0.255082445
2005,0.25572478,16/04/2005,0.288322721
2005,0.232162155,14/05/2005,0.338843918
2005,-0.129438453,15/06/2005,0.394906563
2005,-0.613687212,16/07/2005,0.172914655
2005,-0.209362327,17/08/2005,-0.061532787
2005,-0.634234935,17/09/2005,-0.157955409
2005,-0.374285256,15/10/2005,-0.002175359
2005,-0.137607548,16/11/2005,-0.373598257
2005,-0.315637568,17/12/2005,-0.766552933
2006,-0.144716043,14/01/2006,-1.056855734
2006,-0.4951015,11/02/2006,-0.766903415
